transaction_id,order_value_ratio,account_age_days,txns_last_hour,billing_shipping_mismatch,vpn_detected,new_device,hour_of_day,is_fraud
TXN-100000,1.047201042566908,158.9983613167832,3,0,0,1,4,0
TXN-100001,0.9328735329369767,194.17611056422083,2,0,0,0,10,0
TXN-100002,0.8075325651412208,289.992607281549,2,0,0,0,8,0
TXN-100003,1.2721967896638844,98.55803778410967,6,0,0,0,14,0
TXN-100004,0.9365385282911147,88.14542856721754,4,0,0,0,23,0
TXN-100005,0.7330840470325714,371.73805910497333,1,0,0,0,19,0
TXN-100006,2.0620120345964614,557.6316857206759,1,0,0,0,16,0
TXN-100007,0.7177746726404793,247.48862356549122,2,0,0,0,10,0
TXN-100008,1.0803968690058203,3.2334383686880175,2,0,0,0,13,0
TXN-100009,1.0140904437564464,6.731013873120439,4,0,0,1,19,0
TXN-100010,0.9002627542459827,138.70668399175747,3,0,0,0,0,0
TXN-100011,0.8290351829204053,257.013646291161,2,0,0,0,19,0
TXN-100012,1.6136294448740867,115.93188171275898,3,0,0,0,13,0
TXN-100013,0.44362205820954553,528.1080840172791,1,0,0,0,7,0
TXN-100014,1.6421538611877113,367.24094999640073,3,0,0,0,23,0
TXN-100015,0.7036380729897287,109.50653598604417,3,0,0,0,4,0
TXN-100016,0.8914223528633658,68.74260418444783,3,0,0,0,7,0
TXN-100017,1.1688450958188294,221.45305355627028,4,0,0,1,6,0
TXN-100018,1.5369012845274264,23.981675875135203,3,0,0,1,8,0
TXN-100019,1.352522520204581,50.9861947964816,1,0,0,0,12,0
TXN-100020,1.0390826837307288,104.95195248415828,2,0,0,0,10,0
TXN-100021,0.6392845956722041,430.5853100017268,1,0,0,0,1,0
TXN-100022,0.9104374385111116,52.33268501456542,1,0,1,0,13,0
TXN-100023,1.6278538137905916,171.5439772410252,4,0,0,0,10,0
TXN-100024,1.248295364478418,516.7246086374665,1,0,0,0,10,0
TXN-100025,0.5638081784214984,764.7063759576232,3,0,0,0,18,0
TXN-100026,2.009958149009182,5.90428996852433,3,0,0,0,23,0
TXN-100027,0.9782818740124061,78.10047372537332,4,0,0,1,19,0
TXN-100028,1.0566338667656656,172.88416892171577,3,0,0,1,17,0
TXN-100029,0.7928875561392784,144.6873945219562,2,0,0,0,21,0
TXN-100030,1.0484066484822983,99.01759688993529,1,0,0,0,6,0
TXN-100031,1.1131565291732746,150.02083098747823,1,0,0,0,9,0
TXN-100032,1.212595199610872,111.99780040197565,3,0,0,0,21,0
TXN-100033,1.5185118403968567,195.80379901611482,3,0,0,0,5,0
